sum.taxonomy	ASWS_B0.35.S35.L001	ASWS_E0.36.S36.L001	ASWS_H0.37.S37.L001	ASWS_K0.38.S38.L001	K0723_A1.10.S10.L001	K0723_B2.11.S11.L001	K0723_E4.26.S26.L001	K0723_G5.5.S5.L001	K0723_K6.27.S27.L001	K0723_L7.2.S2.L001	K0723_M8.32.S32.L001	K0723_T9.4.S4.L001	K0724_A1.23.S23.L001	K0724_B2.29.S29.L001	K0724_C3.13.S13.L001	K0724_E4.9.S9.L001	K0724_G5.30.S30.L001	K0724_K6.25.S25.L001	K0724_L7.1.S1.L001	K0724_M8.8.S8.L001	K0724_T9.15.S15.L001	K0725_A1.33.S33.L001	K0725_B2.31.S31.L001	K0725_C3.7.S7.L001	K0725_E4.18.S18.L001	K0725_G5.34.S34.L001	K0725_K6.24.S24.L001	K0725_L7.12.S12.L001	K0725_M8.20.S20.L001	K0725_T9.22.S22.L001	K0727_C3.28.S28.L001	K0727_E4.19.S19.L001	K0727_G5.21.S21.L001	K0727_K6.14.S14.L001	K0727_L7.6.S6.L001	K0727_M8.16.S16.L001	K0727_T9.3.S3.L001	K0740_B2.49.S49.L001	K0740_C3.50.S50.L001	K0740_E4.47.S47.L001	K0740_K6.48.S48.L001	K0810_C3.42.S42.L001	K0810_E4.43.S43.L001	K0810_G5.40.S40.L001	K0810_K6.41.S41.L001	K0810_L7.44.S44.L001	K0810_M8.45.S45.L001	K0810_T9.46.S46.L001	MWWS_B0.52.S52.L001	MWWS_E0.53.S53.L001	MWWS_H0.54.S54.L001	MWWS_K0.55.S55.L001
Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Lepomis;Lepomis cyanellus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0
Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Sardinops;Sardinops melanostictus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	71
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cobitidae;Misgurnus;Misgurnus anguillicaudatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0
Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	2
Eukaryota;Chordata;Actinopteri;Perciformes;Anoplopomatidae;Anoplopoma;Anoplopoma fimbria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
Eukaryota;Chordata;Actinopteri;Perciformes;Sebastidae;Sebastes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	35
Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo salar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	58
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus;Thunnus alalunga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0
Eukaryota;Chordata;Amphibia;Caudata;Salamandridae;Taricha;	9637	3586	7729	581	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
